pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CH,2023-09-29,84.6,1.86,5.73,"Latz, Jacob",664059,656641,,called_strike,,,,,13.0,Sam Haggerty walks.,R,R,L,SEA,TEX,S,,,1,1,2023,1.21,0.96,-0.89,2.32,,,,1,8,Bot,,,,,595978,,,-8.838233071744874,-122.89152966875356,-3.5029791552299563,13.99602508605776,23.9250007981055,-21.96526786289986,3.18,1.5,,,,84.8,1956.0,6.5,716379,656641,595978,663993,677649,673962,669701,543257,694497,608671,54.04,,,,,,,,66,3,Changeup,8,0,8,0,0,8,8,0,Standard,Standard,132.0,0.0,-0.043
CH,2023-09-29,84.7,1.85,5.72,"Latz, Jacob",664059,656641,,ball,,,,,14.0,Sam Haggerty walks.,R,R,L,SEA,TEX,B,,,0,1,2023,1.24,1.03,0.12,1.17,,,,1,8,Bot,,,,,595978,,,-6.528382813729123,-123.104677302997,-6.339875570441421,13.863771911112464,24.847603275076985,-20.589340764530338,3.2,1.44,,,,85.0,1858.0,6.6,716379,656641,595978,663993,677649,673962,669701,543257,694497,608671,53.93,,,,,,,,66,2,Changeup,8,0,8,0,0,8,8,0,Standard,Standard,130.0,0.0,0.019
CU,2023-09-29,80.1,1.72,5.85,"Latz, Jacob",664059,656641,,swinging_strike,,,,,13.0,Sam Haggerty walks.,R,R,L,SEA,TEX,S,,,0,0,2023,-0.35,-0.83,-0.64,1.34,,,,1,8,Bot,,,,,595978,,,-4.559832084060082,-116.60882395736674,-1.6692372943998517,-2.31607645833774,22.69121116641384,-39.66160215875396,3.22,1.5,,,,80.0,2666.0,6.3,716379,656641,595978,663993,677649,673962,669701,543257,694497,608671,54.22,,,,,,,,66,1,Curveball,8,0,8,0,0,8,8,0,Standard,Standard,335.0,0.0,-0.026
FF,2023-09-29,94.0,1.64,5.92,"Latz, Jacob",663728,656641,strikeout,swinging_strike,,,,,12.0,Cal Raleigh strikes out swinging.,R,R,L,SEA,TEX,S,2.0,,1,2,2023,0.7,1.61,0.32,4.44,,,,0,8,Bot,,,,,595978,,,-4.971260987165617,-136.75613377818817,-1.6786694286039192,9.867455883852353,31.24811416107585,-11.859713280035823,3.48,1.67,,,,94.1,2183.0,6.4,716379,656641,595978,663993,677649,673962,669701,543257,694497,608671,54.07,,,0.0,1.0,0.0,0.0,,65,5,4-Seam Fastball,8,0,8,0,0,8,8,0,Standard,Standard,153.0,0.0,-0.173
FF,2023-09-29,94.0,1.59,5.85,"Latz, Jacob",663728,656641,,foul,,,,,12.0,Cal Raleigh strikes out swinging.,R,R,L,SEA,TEX,S,,,1,2,2023,0.57,1.36,0.46,3.74,,,,0,8,Bot,,,,,595978,,,-4.175490618627195,-136.9656055922133,-2.8298889011042423,8.040750616780253,29.052176829911783,-14.554322364104031,3.48,1.67,203.0,77.0,21.0,94.5,2055.0,6.4,716379,656641,595978,663993,677649,673962,669701,543257,694497,608671,54.05,,,,,,,,65,4,4-Seam Fastball,8,0,8,0,0,8,8,0,Standard,Standard,152.0,0.0,0.0
CH,2023-09-29,84.3,1.67,5.84,"Latz, Jacob",663728,656641,,foul,,,,,3.0,Cal Raleigh strikes out swinging.,R,R,L,SEA,TEX,S,,,1,1,2023,0.8,0.73,0.41,3.49,,,,0,8,Bot,,,,,595978,,,-4.540533173282713,-122.73713424750412,-0.5954518079620573,8.948345553099488,22.895041270592863,-24.843226212691643,3.48,1.67,172.0,67.2,61.0,84.7,1779.0,6.4,716379,656641,595978,663993,677649,673962,669701,543257,694497,608671,54.09,,,,,,,,65,3,Changeup,8,0,8,0,0,8,8,0,Standard,Standard,125.0,0.0,-0.055
CH,2023-09-29,83.7,1.99,5.82,"Latz, Jacob",663728,656641,,ball,,,,,12.0,Cal Raleigh strikes out swinging.,R,R,L,SEA,TEX,B,,,0,1,2023,1.2,1.12,0.62,4.07,,,,0,8,Bot,,,,,595978,,,-5.531668936068819,-121.80355352324275,0.1649459462659217,13.071005334182528,23.66998321166866,-21.251079822354185,3.35,1.58,,,,83.8,1899.0,6.3,716379,656641,595978,663993,677649,673962,669701,543257,694497,608671,54.19,,,,,,,,65,2,Changeup,8,0,8,0,0,8,8,0,Standard,Standard,127.0,0.0,0.028
CH,2023-09-29,82.7,1.75,5.78,"Latz, Jacob",663728,656641,,swinging_strike,,,,,14.0,Cal Raleigh strikes out swinging.,R,R,L,SEA,TEX,S,,,0,0,2023,1.01,0.92,0.94,1.39,,,,0,8,Bot,,,,,595978,,,-3.839035722982536,-120.39470789523824,-5.330278217334293,10.588982867040118,23.587687069591944,-22.35228452611205,3.48,1.67,,,,83.0,1827.0,6.5,716379,656641,595978,663993,677649,673962,669701,543257,694497,608671,54.03,,,,,,,,65,1,Changeup,8,0,8,0,0,8,8,0,Standard,Standard,129.0,0.0,-0.038
CH,2023-09-29,85.5,1.88,5.72,"Latz, Jacob",553993,656641,field_out,hit_into_play,,,,,14.0,"Eugenio Suarez grounds out, shortstop Josh H.   Smith to first baseman Nathaniel Lowe.",R,R,L,SEA,TEX,X,6.0,ground_ball,0,1,2023,1.16,1.16,0.56,1.37,,,,2,7,Bot,99.29,153.1,,,595978,,,-5.454007467676904,-124.25809130672924,-6.3096321247412686,13.083609247587676,24.94061897507921,-19.101450579384952,3.4,1.57,45.0,83.2,2.0,85.7,1972.0,6.5,716379,656641,595978,663993,677649,673962,669701,543257,694497,608671,54.0,0.26,0.238,0.0,1.0,0.0,0.0,2.0,59,2,Changeup,8,0,8,0,0,8,8,0,Standard,Standard,130.0,-0.001,-0.089
FF,2023-09-29,94.7,1.61,5.86,"Latz, Jacob",553993,656641,,called_strike,,,,,2.0,"Eugenio Suarez grounds out, shortstop Josh H.   Smith to first baseman Nathaniel Lowe.",R,R,L,SEA,TEX,S,,,0,0,2023,0.7,1.44,-0.19,3.39,,,,2,7,Bot,,,,,595978,,,-6.2958148131901766,-137.72359058338182,-3.9640661859322863,10.366469899115758,32.415095388793674,-13.263602144173008,3.32,1.55,,,,94.8,2198.0,6.5,716379,656641,595978,663993,677649,673962,669701,543257,694497,608671,53.98,,,,,,,,59,1,4-Seam Fastball,8,0,8,0,0,8,8,0,Standard,Standard,155.0,0.0,-0.017
CH,2023-09-29,85.2,1.87,5.79,"Latz, Jacob",677594,656641,field_out,hit_into_play,,,,,14.0,"Julio Rodriguez grounds out softly, pitcher Jake Latz to first baseman Nathaniel Lowe.",R,R,L,SEA,TEX,X,1.0,ground_ball,0,2,2023,0.93,0.64,0.84,2.01,,,,1,7,Bot,121.02,180.79,,,595978,,,-4.287351387131516,-124.0681014331402,-3.910719911734343,10.437228530797318,23.904782046486872,-24.97483630033082,3.28,1.5,2.0,58.3,-52.0,85.5,1763.0,6.4,716379,656641,595978,663993,677649,673962,669701,543257,694497,608671,54.12,0.3,0.291,0.0,1.0,0.0,0.0,1.0,58,3,Changeup,8,0,8,0,0,8,8,0,Standard,Standard,126.0,0.0,-0.107
FF,2023-09-29,94.8,1.58,5.87,"Latz, Jacob",677594,656641,,foul,,,,,2.0,"Julio Rodriguez grounds out softly, pitcher Jake Latz to first baseman Nathaniel Lowe.",R,R,L,SEA,TEX,S,,,0,1,2023,0.63,1.56,0.26,3.2,,,,1,7,Bot,,,,,595978,,,-4.882716321751457,-137.9403940415418,-4.843353935924155,9.114153154223688,29.664066568357452,-11.303598664583092,3.28,1.5,,,,95.3,2189.0,6.5,716379,656641,595978,663993,677649,673962,669701,543257,694497,608671,53.98,,,,,,,,58,2,4-Seam Fastball,8,0,8,0,0,8,8,0,Standard,Standard,154.0,0.0,-0.036
CH,2023-09-29,84.6,1.78,5.75,"Latz, Jacob",677594,656641,,swinging_strike,,,,,9.0,"Julio Rodriguez grounds out softly, pitcher Jake Latz to first baseman Nathaniel Lowe.",R,R,L,SEA,TEX,S,,,0,0,2023,0.78,1.12,0.29,1.66,,,,1,7,Bot,,,,,595978,,,-5.0313735061455365,-123.16441692004508,-5.4635231125185415,8.890824096091071,23.25045170287066,-19.889924336989115,3.28,1.5,,,,85.0,1798.0,6.4,716379,656641,595978,663993,677649,673962,669701,543257,694497,608671,54.09,,,,,,,,58,1,Changeup,8,0,8,0,0,8,8,0,Standard,Standard,130.0,0.0,-0.026
SL,2023-09-29,86.3,1.85,5.81,"Latz, Jacob",641487,656641,strikeout,called_strike,,,,,11.0,J.P. Crawford called out on strikes.,R,L,L,SEA,TEX,S,2.0,,3,2,2023,-0.53,0.2,-0.91,3.22,,,,0,7,Bot,,,,,595978,,,-5.5169539116820925,-125.59890780804515,-0.3812372479457536,-4.544599380024962,24.165923956935625,-30.15257130410334,3.21,1.42,,,,86.6,2493.0,6.4,716379,656641,595978,663993,677649,673962,669701,543257,694497,608671,54.13,,,0.0,1.0,0.0,0.0,,57,6,Slider,8,0,8,0,0,8,8,0,Infield shade,Standard,225.0,0.0,-0.317
SL,2023-09-29,88.6,1.72,5.73,"Latz, Jacob",641487,656641,,ball,,,,,13.0,J.P. Crawford called out on strikes.,R,L,L,SEA,TEX,B,,,2,2,2023,-0.25,0.82,-1.99,0.42,,,,0,7,Bot,,,,,595978,,,-8.585238034726146,-128.70007751597905,-8.680922576247585,-1.1430647739049211,24.24722443265876,-21.50889514904132,3.12,1.42,,,,89.4,2440.0,6.7,716379,656641,595978,663993,677649,673962,669701,543257,694497,608671,53.83,,,,,,,,57,5,Slider,8,0,8,0,0,8,8,0,Infield shade,Standard,186.0,0.0,0.103
FF,2023-09-29,93.6,1.58,5.81,"Latz, Jacob",641487,656641,,foul,,,,,11.0,J.P. Crawford called out on strikes.,R,L,L,SEA,TEX,S,,,2,1,2023,0.39,1.64,-0.84,2.81,,,,0,7,Bot,,,,,595978,,,-7.163066051326985,-136.09470250310991,-5.65310413521714,6.433070300209044,28.91341141428774,-10.736165025810587,3.25,1.53,132.0,74.8,74.0,94.2,2177.0,6.6,716379,656641,595978,663993,677649,673962,669701,543257,694497,608671,53.89,,,,,,,,57,4,4-Seam Fastball,8,0,8,0,0,8,8,0,Infield shade,Standard,152.0,0.0,-0.067
FF,2023-09-29,94.4,1.68,5.74,"Latz, Jacob",641487,656641,,called_strike,,,,,4.0,J.P. Crawford called out on strikes.,R,L,L,SEA,TEX,S,,,2,0,2023,0.37,1.62,-0.41,2.56,,,,0,7,Bot,,,,,595978,,,-6.27690629604903,-137.26332920612677,-6.2465388793105046,6.063124833279682,28.57588473023668,-10.456379051882475,3.15,1.47,,,,95.0,2106.0,6.6,716379,656641,595978,663993,677649,673962,669701,543257,694497,608671,53.93,,,,,,,,57,3,4-Seam Fastball,8,0,8,0,0,8,8,0,Infield shade,Standard,154.0,0.0,-0.058
SL,2023-09-29,86.4,1.74,5.74,"Latz, Jacob",641487,656641,,ball,,,,,13.0,J.P. Crawford called out on strikes.,R,L,L,SEA,TEX,B,,,1,0,2023,-0.23,0.73,-1.2,1.12,,,,0,7,Bot,,,,,595978,,,-6.585911032064679,-125.784255544441,-6.442758013990328,-1.3762886592406938,21.64815050980132,-23.33185539699273,3.21,1.47,,,,87.6,2492.0,6.7,716379,656641,595978,663993,677649,673962,669701,543257,694497,608671,53.82,,,,,,,,57,2,Slider,8,0,8,0,0,8,8,0,Infield shade,Standard,209.0,0.0,0.064
FF,2023-09-29,93.8,1.56,5.86,"Latz, Jacob",641487,656641,,ball,,,,,11.0,J.P. Crawford called out on strikes.,R,L,L,SEA,TEX,B,,,0,0,2023,0.65,1.48,-1.55,2.38,,,,0,7,Bot,,,,,595978,,,-9.517239449023064,-136.1723597156308,-6.593048606496262,10.08899224902232,27.879192829903584,-12.45705073632231,3.21,1.49,,,,94.4,2106.0,6.6,716379,656641,595978,663993,677649,673962,669701,543257,694497,608671,53.86,,,,,,,,57,1,4-Seam Fastball,8,0,8,0,0,8,8,0,Infield shade,Standard,155.0,0.0,0.036
